
---New data---
[File : ./suiteSparse_dataset/ch7-8-b3/ch7-8-b3.mtx]
[K : 32]
[BSA_alpha : 0.7]
[BSA_delta : 0.3]
[BSA_block_size : 16]
[BSA_numDenseBlock : 0]
[BSA_averageDensity : 0]
[BSA_reordering : 8572]
[BSA_numClusters : 10077]
[BSA_numNNZ_bellpack : 235200]
[BSA_numNNZ_csr : 235200]

---New data---
[File : ./suiteSparse_dataset/skirt/skirt.mtx]
[K : 32]
[BSA_alpha : 0.7]
[BSA_delta : 0.3]
[BSA_block_size : 16]
[BSA_numDenseBlock : 1]
[BSA_averageDensity : 0.304688]
[BSA_reordering : 558]
[BSA_numClusters : 3343]
[BSA_numNNZ_bellpack : 104559]
[BSA_numNNZ_csr : 104481]

---New data---
[File : ./suiteSparse_dataset/sctap1-2r/sctap1-2r.mtx]
[K : 32]
[BSA_alpha : 0.7]
[BSA_delta : 0.3]
[BSA_block_size : 16]
[BSA_numDenseBlock : 0]
[BSA_averageDensity : 0]
[BSA_reordering : 2516]
[BSA_numClusters : 6506]
[BSA_numNNZ_bellpack : 186366]
[BSA_numNNZ_csr : 186366]

---New data---
[File : ./suiteSparse_dataset/sctap1-2r/sctap1-2r_A_11.mtx]
[K : 32]
[BSA_alpha : 0.7]
[BSA_delta : 0.3]
[BSA_block_size : 16]
[BSA_numDenseBlock : 0]
[BSA_averageDensity : 0]
[BSA_reordering : 2688]
[BSA_numClusters : 6506]
[BSA_numNNZ_bellpack : 186366]
[BSA_numNNZ_csr : 186366]

---New data---
[File : ./suiteSparse_dataset/OPF_6000/OPF_6000.mtx]
[K : 32]
[BSA_alpha : 0.7]
[BSA_delta : 0.3]
[BSA_block_size : 16]
[BSA_numDenseBlock : 0]
[BSA_averageDensity : 0]
[BSA_reordering : 1311]
[BSA_numClusters : 4400]
[BSA_numNNZ_bellpack : 166160]
[BSA_numNNZ_csr : 166160]

---New data---
[File : ./suiteSparse_dataset/trdheim/trdheim.mtx]
[K : 32]
[BSA_alpha : 0.7]
[BSA_delta : 0.3]
[BSA_block_size : 16]
[BSA_numDenseBlock : 4180]
[BSA_averageDensity : 0.467777]
[BSA_reordering : 801]
[BSA_numClusters : 2237]
[BSA_numNNZ_bellpack : 978711]
[BSA_numNNZ_csr : 478152]

---New data---
[File : ./suiteSparse_dataset/xenon1/xenon1.mtx]
[K : 32]
[BSA_alpha : 0.7]
[BSA_delta : 0.3]
[BSA_block_size : 16]
[BSA_numDenseBlock : 117]
[BSA_averageDensity : 0.339677]
[BSA_reordering : 13929]
[BSA_numClusters : 12610]
[BSA_numNNZ_bellpack : 1181120]
[BSA_numNNZ_csr : 1170946]

---New data---
[File : ./suiteSparse_dataset/pkustk13/pkustk13.mtx]
[K : 32]
[BSA_alpha : 0.7]
[BSA_delta : 0.3]
[BSA_block_size : 16]
[BSA_numDenseBlock : 293]
[BSA_averageDensity : 0.348296]
[BSA_reordering : 84163]
[BSA_numClusters : 27671]
[BSA_numNNZ_bellpack : 3355860]
[BSA_numNNZ_csr : 3329735]

---New data---
[File : ./suiteSparse_dataset/ABACUS_shell_ud/ABACUS_shell_ud_M.mtx]
[K : 32]
[BSA_alpha : 0.7]
[BSA_delta : 0.3]
[BSA_block_size : 16]
[BSA_numDenseBlock : 0]
[BSA_averageDensity : 0]
[BSA_reordering : 4244]
[BSA_numClusters : 12398]
[BSA_numNNZ_bellpack : 206474]
[BSA_numNNZ_csr : 206474]

---New data---
[File : ./suiteSparse_dataset/ABACUS_shell_ud/ABACUS_shell_ud_K.mtx]
[K : 32]
[BSA_alpha : 0.7]
[BSA_delta : 0.3]
[BSA_block_size : 16]
[BSA_numDenseBlock : 9]
[BSA_averageDensity : 0.360677]
[BSA_reordering : 4001]
[BSA_numClusters : 12368]
[BSA_numNNZ_bellpack : 216082]
[BSA_numNNZ_csr : 215251]

---New data---
[File : ./suiteSparse_dataset/ABACUS_shell_ud/ABACUS_shell_ud.mtx]
[K : 32]
[BSA_alpha : 0.7]
[BSA_delta : 0.3]
[BSA_block_size : 16]
[BSA_numDenseBlock : 8]
[BSA_averageDensity : 0.368652]
[BSA_reordering : 4047]
[BSA_numClusters : 12346]
[BSA_numNNZ_bellpack : 218484]
[BSA_numNNZ_csr : 217729]

---New data---
[File : ./suiteSparse_dataset/pattern1/pattern1.mtx]
[K : 32]
[BSA_alpha : 0.7]
[BSA_delta : 0.3]
[BSA_block_size : 16]
[BSA_numDenseBlock : 105]
[BSA_averageDensity : 0.532031]
[BSA_reordering : 1248]
[BSA_numClusters : 2233]
[BSA_numNNZ_bellpack : 4671337]
[BSA_numNNZ_csr : 4657036]

---New data---
[File : ./suiteSparse_dataset/nv1/nv1.mtx]
[K : 32]
[BSA_alpha : 0.7]
[BSA_delta : 0.3]
[BSA_block_size : 16]
