file,M,N,NNZ,Sparsity,K,BSMR,cuSDDMM,cuSPARSE,RoDe,ASpT,TCGNN,FlashSparse,Sputnik
./suiteSparse_dataset/c-63/c-63.mtx,44234,44234,239469,99.98%,64,1792.43,557.36,26.91,0,0,17.1661,414.312,7.39
./suiteSparse_dataset/HEP-th/HEP-th.mtx,27240,27240,342437,99.95%,64,1936.86,918,43.8,0,0,73.5806,974.043,16.18
./suiteSparse_dataset/li/li.mtx,22695,22695,1350309,99.73%,64,3776.03,1733.28,298.38,0,0,429.308,3369.19,89.77
./suiteSparse_dataset/e40r0100/e40r0100.mtx,17281,17281,553562,99.81%,64,4582.47,1281.84,72.07,0,0,303.842,2614.61,63.92
./suiteSparse_dataset/g7jac180sc/g7jac180sc.mtx,53370,53370,747276,99.97%,64,3103.31,890.44,93.74,0,0,204.383,1686.97,9.23
./suiteSparse_dataset/Trefethen_20000/Trefethen_20000.mtx,20000,20000,287233,99.92%,64,2075.38,959.44,36.38,0,0,214.222,1481.66,48.18
./suiteSparse_dataset/c-62ghs/c-62ghs.mtx,41731,41731,300537,99.98%,64,2041.69,484.6,32.46,0,0,7.77321,1649.68,11.3
./suiteSparse_dataset/chem_master1/chem_master1.mtx,40401,40401,201201,99.98%,64,1835.78,820.39,23.67,0,0,358.687,1589.74,4.35
./suiteSparse_dataset/soc-sign-Slashdot090216/soc-sign-Slashdot090216.mtx,81871,81871,545671,99.99%,64,1744.47,584.23,64.42,0,0,41.3118,901.237,2.87
./suiteSparse_dataset/TSOPF_RS_b300_c2/TSOPF_RS_b300_c2.mtx,28338,28338,2943887,99.63%,64,9658.42,1491.92,980.06,0,0,629.814,7446.99,127.59
./suiteSparse_dataset/sinc15/sinc15.mtx,11532,11532,568526,99.57%,64,3368.04,582.58,68.54,0,0,55.2051,1592.37,144.09
./suiteSparse_dataset/lhr34c/lhr34c.mtx,35152,35152,764014,99.93%,64,5276.34,1558.74,90.95,0,0,838.712,2990.64,21.71
./suiteSparse_dataset/crankseg_2/crankseg_2.mtx,63838,63838,7106348,99.82%,64,5416.42,1206.32,1784.61,0,0,59.2983,4815.35,115.11
./suiteSparse_dataset/LeGresley_87936/LeGresley_87936.mtx,87936,87936,593276,99.99%,64,2455.61,1034.03,77.08,0,0,304.732,1438.24,2.67
./suiteSparse_dataset/lhr34/lhr34.mtx,35152,35152,764014,99.93%,64,5276.34,1631.9,90.59,0,0,838.712,2990.64,21.71
./suiteSparse_dataset/g7jac080/g7jac080.mtx,23670,23670,293976,99.94%,64,2783.86,972.3,35.6,0,0,88.6221,1517.3,18.4
./suiteSparse_dataset/net75/net75.mtx,23120,23120,756160,99.85%,64,3905.79,828.96,93.79,0,0,70.7091,1763.35,95.84
./suiteSparse_dataset/Dubcova2/Dubcova2.mtx,65025,65025,547625,99.98%,64,2187,1035.31,64.83,0,0,355.346,1854.69,8.59
./suiteSparse_dataset/ASIC_100ks/ASIC_100ks.mtx,99190,99190,578890,99.99%,64,2404.03,788.03,67.57,0,0,73.6487,1455.75,2.06
./suiteSparse_dataset/wathen100/wathen100.mtx,30401,30401,251001,99.97%,64,2037.35,968.55,29.28,0,0,630.773,3033.41,17.68
