file,M,N,NNZ,Sparsity,alpha,K,BSMR,BSMR_Only_Tensor_core,BSMR_Only_CUDA_Core
./suiteSparse_dataset/c-63/c-63.mtx,44234,44234,239469,99.98,0.1,64,1792.43,347.26,1792.43
./suiteSparse_dataset/HEP-th/HEP-th.mtx,27240,27240,342437,99.95,0.1,64,1936.86,818.44,1869.2
./suiteSparse_dataset/li/li.mtx,22695,22695,1350309,99.73,0.5,64,3776.03,3074.47,3030.32
./suiteSparse_dataset/e40r0100/e40r0100.mtx,17281,17281,553562,99.81,0.3,64,4582.47,3512.45,3174.09
./suiteSparse_dataset/g7jac180sc/g7jac180sc.mtx,53370,53370,747276,99.97,0.5,64,3103.31,2177.38,2661.24
./suiteSparse_dataset/Trefethen_20000/Trefethen_20000.mtx,20000,20000,287233,99.92,0.9,64,2075.38,1471.48,1961.97
./suiteSparse_dataset/c-62ghs/c-62ghs.mtx,41731,41731,300537,99.98,0.3,64,2041.69,333.63,1859.76
./suiteSparse_dataset/chem_master1/chem_master1.mtx,40401,40401,201201,99.98,0.1,64,1835.78,1263.83,1822.47
./suiteSparse_dataset/soc-sign-Slashdot090216/soc-sign-Slashdot090216.mtx,81871,81871,545671,99.99,0.1,64,1744.47,552.75,1744.47
./suiteSparse_dataset/TSOPF_RS_b300_c2/TSOPF_RS_b300_c2.mtx,28338,28338,2943887,99.63,0.1,64,9658.42,8052.21,4195.96
./suiteSparse_dataset/sinc15/sinc15.mtx,11532,11532,568526,99.57,0.7,64,3368.04,2353.17,2691.88
./suiteSparse_dataset/lhr34c/lhr34c.mtx,35152,35152,764014,99.93,0.1,64,5276.34,2675.12,3183.39
./suiteSparse_dataset/crankseg_2/crankseg_2.mtx,63838,63838,7106348,99.82,0.3,64,5416.42,4557.69,3014.23
./suiteSparse_dataset/LeGresley_87936/LeGresley_87936.mtx,87936,87936,593276,99.99,0.5,64,2455.61,1462.71,2423.51
./suiteSparse_dataset/lhr34/lhr34.mtx,35152,35152,764014,99.93,0.1,64,5276.34,2675.12,3172.82
./suiteSparse_dataset/g7jac080/g7jac080.mtx,23670,23670,293976,99.94,0.5,64,2783.86,1717.15,2111.9
./suiteSparse_dataset/net75/net75.mtx,23120,23120,756160,99.85,0.9,64,3905.79,2534.05,2838.44
./suiteSparse_dataset/Dubcova2/Dubcova2.mtx,65025,65025,547625,99.98,0.3,64,2187,1724.26,2068.07
./suiteSparse_dataset/ASIC_100ks/ASIC_100ks.mtx,99190,99190,578890,99.99,0.3,64,2404.03,391.57,2404.03
./suiteSparse_dataset/wathen100/wathen100.mtx,30401,30401,251001,99.97,0.3,64,2037.35,1625.65,2024.2
./suiteSparse_dataset/net100/net100.mtx,29920,29920,1031560,99.88,0.9,64,4093.49,2852.77,3264.43
./suiteSparse_dataset/g7jac160sc/g7jac160sc.mtx,47430,47430,656616,99.97,0.5,64,3062.57,2115.39,2605.62
./suiteSparse_dataset/Zhao1/Zhao1.mtx,33861,33861,166453,99.98,0.1,64,1541.23,866.94,1541.23
./suiteSparse_dataset/pkustk07/pkustk07.mtx,16860,16860,1217832,99.57,0.3,64,5360.18,4464.19,3677.03
./suiteSparse_dataset/lp_nug20/lp_nug20.mtx,15240,72600,304800,99.97,0.1,64,1693.33,1179.57,1685.84
./suiteSparse_dataset/c-54/c-54.mtx,31793,31793,211743,99.97,0.5,64,2281.71,705.81,1931.96
./suiteSparse_dataset/foldoc/foldoc.mtx,13356,13356,120238,99.93,0.1,64,1707.93,963.45,1707.93
./suiteSparse_dataset/airfoil_2d/airfoil_2d.mtx,14214,14214,259688,99.87,0.3,64,2270,1745.22,2054.49
./suiteSparse_dataset/lhr17c/lhr17c.mtx,17576,17576,381975,99.87,0.1,64,4635.62,2448.56,2984.18
./suiteSparse_dataset/pcrystk03/pcrystk03.mtx,24696,24696,887937,99.85,0.5,64,4050.81,3274.1,3066.08
./suiteSparse_dataset/conf6_0-8x8-30/conf6_0-8x8-30.mtx,49152,49152,1916928,99.92,0.5,64,4453.83,4294.19,3652.68
./suiteSparse_dataset/chipcool1/chipcool1.mtx,20082,20082,281150,99.93,0.3,64,2282.06,1476.63,2067.28
./suiteSparse_dataset/lowThrust_13/lowThrust_13.mtx,18476,18476,117580,99.96,0.3,64,1615.11,1185.28,1515.21
./suiteSparse_dataset/vsp_vibrobox_scagr7-2c_rlfddd/vsp_vibrobox_scagr7-2c_rlfddd.mtx,77328,77328,435586,99.99,0.3,64,2039.26,1080.32,2039.26
./suiteSparse_dataset/soc-sign-Slashdot081106/soc-sign-Slashdot081106.mtx,77357,77357,516575,99.99,0.1,64,1699.26,564.93,1699.26
./suiteSparse_dataset/c-66b/c-66b.mtx,49989,49989,274498,99.98,0.3,64,1983.37,410.93,1759.6
./suiteSparse_dataset/t3dh_e/t3dh_e.mtx,79171,79171,2215638,99.96,0.3,64,3596.82,2526.96,3007.11
./suiteSparse_dataset/smt/smt.mtx,25710,25710,1889447,99.71,0.5,64,4667.61,3903.82,3478.36
./suiteSparse_dataset/Si5H12/Si5H12.mtx,19896,19896,379247,99.9,0.3,64,2268.22,1606.98,2125.82
./suiteSparse_dataset/nug08-3rd/nug08-3rd.mtx,19728,29856,148416,99.97,0.3,64,1599.31,1030.67,1520.66
./suiteSparse_dataset/nd6k/nd6k.mtx,18000,18000,3457658,98.93,0.5,64,5569.68,4967.9,3755.06
./suiteSparse_dataset/G_n_pin_pout/G_n_pin_pout.mtx,100000,100000,501198,99.99,0.1,64,1657.4,781.17,1657.4
./suiteSparse_dataset/fome12/fome12.mtx,24284,48920,142528,99.98,0.1,64,1220.27,531.82,1120.5
./suiteSparse_dataset/rim/rim.mtx,22560,22560,1014951,99.8,0.3,64,4733.91,3456.92,3428.89
./suiteSparse_dataset/conf5_4-8x8-10/conf5_4-8x8-10.mtx,49152,49152,1916928,99.92,0.5,64,4412.82,4286.51,3663.85
./suiteSparse_dataset/south31/south31.mtx,18425,36321,112398,99.98,0.5,64,1824.64,1200.83,1801.25
./suiteSparse_dataset/world/world.mtx,34506,67147,198883,99.99,0.1,64,1544.12,300.61,1544.12
./suiteSparse_dataset/epb3/epb3.mtx,84617,84617,463625,99.99,0.1,64,2384.9,1735.12,2375.13
